CustomerID,recency_days,frequency,monetary,customer_lifespan_years,first_purchase_date,last_purchase_date,analysis_date,R_quintile,F_quintile,M_quintile,RFM_Score,Segment
14646,1,73,280206.0199999998,0.9671232876712328,2010-12-20 10:09:00,2011-12-08 12:12:00,2011-12-09 12:50:00,5,5,5,555,Champions
18102,0,60,259657.29999999996,1.0054794520547945,2010-12-07 16:42:00,2011-12-09 11:50:00,2011-12-09 12:50:00,5,5,5,555,Champions
17450,8,46,187406.06999999995,0.9835616438356164,2010-12-07 09:23:00,2011-12-01 13:29:00,2011-12-09 12:50:00,5,5,5,555,Champions
14911,1,201,143825.06000000006,1.0191780821917809,2010-12-01 14:05:00,2011-12-08 15:54:00,2011-12-09 12:50:00,5,5,5,555,Champions
12415,24,21,124914.53000000004,0.8575342465753425,2011-01-06 11:12:00,2011-11-15 14:22:00,2011-12-09 12:50:00,4,5,5,455,Loyal Customers
14156,9,55,117379.63000000008,0.9917808219178084,2010-12-03 11:48:00,2011-11-30 10:54:00,2011-12-09 12:50:00,5,5,5,555,Champions
17511,2,31,91062.37999999998,1.0164383561643835,2010-12-01 10:19:00,2011-12-07 10:12:00,2011-12-09 12:50:00,5,5,5,555,Champions
16029,38,62,72882.08999999997,0.9178082191780822,2010-12-01 09:57:00,2011-11-01 10:27:00,2011-12-09 12:50:00,3,5,5,355,Potential Loyalists
16684,4,28,66653.56,0.96986301369863,2010-12-16 17:34:00,2011-12-05 14:06:00,2011-12-09 12:50:00,5,5,5,555,Champions
14096,4,17,65164.78999999991,0.2657534246575342,2011-08-30 10:49:00,2011-12-05 17:17:00,2011-12-09 12:50:00,5,5,5,555,Champions
13694,3,50,65039.62000000002,1.0136986301369864,2010-12-01 12:12:00,2011-12-06 09:32:00,2011-12-09 12:50:00,5,5,5,555,Champions
15311,0,91,60767.90000000005,1.021917808219178,2010-12-01 09:41:00,2011-12-09 12:00:00,2011-12-09 12:50:00,5,5,5,555,Champions
13089,2,97,58825.83000000008,1.0054794520547945,2010-12-05 10:27:00,2011-12-07 09:02:00,2011-12-09 12:50:00,5,5,5,555,Champions
17949,1,45,58510.48,1.0136986301369864,2010-12-03 13:12:00,2011-12-08 18:46:00,2011-12-09 12:50:00,5,5,5,555,Champions
15769,7,26,56252.72,0.9972602739726028,2010-12-03 15:16:00,2011-12-02 13:52:00,2011-12-09 12:50:00,5,5,5,555,Champions
15061,3,48,54534.14,1.010958904109589,2010-12-02 15:19:00,2011-12-06 12:06:00,2011-12-09 12:50:00,5,5,5,555,Champions
14298,8,44,51527.29999999992,0.9643835616438357,2010-12-14 12:59:00,2011-12-01 13:12:00,2011-12-09 12:50:00,5,5,5,555,Champions
14088,10,13,50491.810000000005,0.8547945205479452,2011-01-21 13:07:00,2011-11-29 16:16:00,2011-12-09 12:50:00,5,5,5,555,Champions
12931,21,15,42055.96,0.9205479452054794,2010-12-17 09:45:00,2011-11-18 12:39:00,2011-12-09 12:50:00,4,5,5,455,Loyal Customers
17841,1,124,40991.56999999999,1.0191780821917809,2010-12-01 14:41:00,2011-12-08 12:07:00,2011-12-09 12:50:00,5,5,5,555,Champions
13798,1,57,37153.85,1.0164383561643835,2010-12-02 17:24:00,2011-12-08 15:51:00,2011-12-09 12:50:00,5,5,5,555,Champions
16013,3,47,37130.59999999999,1.008219178082192,2010-12-03 13:09:00,2011-12-06 10:36:00,2011-12-09 12:50:00,5,5,5,555,Champions
16422,17,51,34684.40000000001,0.9643835616438357,2010-12-05 15:35:00,2011-11-22 14:00:00,2011-12-09 12:50:00,4,5,5,455,Loyal Customers
